START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
6/30/2018,9:10 PM,10:10 PM,Royals at Mariners,Safeco Field - Seattle,Local TV: FSKC,7/1/2018,7/1/2018,12:10 AM,1:10 AM,FALSE,TRUE,6/30/2018,8:10 PM,9:10 PM,FREE,BUSY
7/1/2018,3:10 PM,4:10 PM,Royals at Mariners,Safeco Field - Seattle,Local TV: FSKC,7/1/2018,7/1/2018,6:10 PM,7:10 PM,FALSE,TRUE,7/1/2018,2:10 PM,3:10 PM,FREE,BUSY
7/2/2018,7:15 PM,8:15 PM,Indians at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/2/2018,7/2/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/2/2018,6:15 PM,7:15 PM,FREE,BUSY
7/3/2018,7:15 PM,8:15 PM,Indians at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/3/2018,7/3/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/3/2018,6:15 PM,7:15 PM,FREE,BUSY
7/4/2018,7:15 PM,8:15 PM,Indians at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/4/2018,7/4/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/4/2018,6:15 PM,7:15 PM,FREE,BUSY
7/6/2018,7:15 PM,8:15 PM,Red Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/6/2018,7/6/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/6/2018,6:15 PM,7:15 PM,FREE,BUSY
7/7/2018,6:15 PM,7:15 PM,Red Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FOX,7/7/2018,7/7/2018,9:15 PM,10:15 PM,FALSE,TRUE,7/7/2018,5:15 PM,6:15 PM,FREE,BUSY
7/8/2018,1:15 PM,2:15 PM,Red Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,7/8/2018,7/8/2018,4:15 PM,5:15 PM,FALSE,TRUE,7/8/2018,12:15 PM,1:15 PM,FREE,BUSY
7/9/2018,7:10 PM,8:10 PM,Royals at Twins,Target Field - Minneapolis,Local TV: FSKC,7/9/2018,7/9/2018,10:10 PM,11:10 PM,FALSE,TRUE,7/9/2018,6:10 PM,7:10 PM,FREE,BUSY
7/10/2018,7:10 PM,8:10 PM,Royals at Twins,Target Field - Minneapolis,,7/10/2018,7/10/2018,10:10 PM,11:10 PM,FALSE,TRUE,7/10/2018,6:10 PM,7:10 PM,FREE,BUSY
7/11/2018,12:10 PM,1:10 PM,Royals at Twins,Target Field - Minneapolis,Local TV: FSKC,7/11/2018,7/11/2018,3:10 PM,4:10 PM,FALSE,TRUE,7/11/2018,11:10 AM,12:10 PM,FREE,BUSY
7/13/2018,7:10 PM,8:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,7/13/2018,7/13/2018,10:10 PM,11:10 PM,FALSE,TRUE,7/13/2018,6:10 PM,7:10 PM,FREE,BUSY
7/14/2018,1:10 PM,2:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,7/14/2018,7/14/2018,4:10 PM,5:10 PM,FALSE,TRUE,7/14/2018,12:10 PM,1:10 PM,FREE,BUSY
7/15/2018,1:10 PM,2:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,7/15/2018,7/15/2018,4:10 PM,5:10 PM,FALSE,TRUE,7/15/2018,12:10 PM,1:10 PM,FREE,BUSY
7/17/2018,,,NL All-Stars at AL All-Stars - Time TBD,Nationals Park - Washington,,7/17/2018,7/17/2018,,,FALSE,TRUE,7/17/2018,,,FREE,BUSY
7/20/2018,7:15 PM,8:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/20/2018,7/20/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/20/2018,6:15 PM,7:15 PM,FREE,BUSY
7/21/2018,6:15 PM,7:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/21/2018,7/21/2018,9:15 PM,10:15 PM,FALSE,TRUE,7/21/2018,5:15 PM,6:15 PM,FREE,BUSY
7/22/2018,1:15 PM,2:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,7/22/2018,7/22/2018,4:15 PM,5:15 PM,FALSE,TRUE,7/22/2018,12:15 PM,1:15 PM,FREE,BUSY
7/23/2018,7:15 PM,8:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/23/2018,7/23/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/23/2018,6:15 PM,7:15 PM,FREE,BUSY
7/24/2018,7:15 PM,8:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,7/24/2018,7/24/2018,10:15 PM,11:15 PM,FALSE,TRUE,7/24/2018,6:15 PM,7:15 PM,FREE,BUSY
7/25/2018,1:15 PM,2:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,7/25/2018,7/25/2018,4:15 PM,5:15 PM,FALSE,TRUE,7/25/2018,12:15 PM,1:15 PM,FREE,BUSY
7/26/2018,6:05 PM,7:05 PM,Royals at Yankees,Yankee Stadium - Bronx,Local TV: FSKC,7/26/2018,7/26/2018,9:05 PM,10:05 PM,FALSE,TRUE,7/26/2018,5:05 PM,6:05 PM,FREE,BUSY
